"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2018","18.1500","18.8403","18.9820","18.1537","","-3.61%"
"02/01/2018","18.8305","18.6000","18.9763","18.3070","","1.29%"
"01/01/2018","18.5905","19.6600","19.6712","18.3020","","-5.38%"
"12/01/2017","19.6480","18.6310","19.9155","18.5520","","5.47%"
"11/01/2017","18.6290","19.1489","19.3773","18.4461","","-2.71%"
"10/01/2017","19.1470","18.2550","19.3306","18.1362","","4.92%"
"09/01/2017","18.2500","17.8888","18.3030","17.6064","","2.06%"
"08/01/2017","17.8820","17.7985","18.0650","17.5727","","0.51%"
"07/01/2017","17.7917","18.1396","18.4079","17.4466","","-1.83%"
"06/01/2017","18.1228","18.6212","18.8235","17.8030","","-2.67%"
"05/01/2017","18.6192","18.8180","19.2645","18.3385","","-1.01%"
"04/01/2017","18.8100","18.7190","19.2971","18.4541","","0.48%"
"03/01/2017","18.7200","20.1075","20.1667","18.6117","","-6.87%"
"02/01/2017","20.1000","20.8340","20.8500","19.6052","","-3.51%"
"01/01/2017","20.8320","20.6870","22.0410","20.6509","","0.56%"
"12/01/2016","20.7150","20.5745","20.8800","20.1372","","0.72%"
"11/01/2016","20.5670","18.8640","21.3986","18.1562","","9.06%"
"10/01/2016","18.8590","19.3722","19.4225","18.4482","","-2.66%"
"09/01/2016","19.3750","18.7850","19.9276","18.2530","","3.17%"
"08/01/2016","18.7801","18.7509","19.0050","17.8978","","0.18%"
"07/01/2016","18.7465","18.2815","18.9795","18.1117","","2.62%"
"06/01/2016","18.2680","18.4665","19.5294","18.0727","","-1.07%"
"05/01/2016","18.4664","17.1795","18.6050","17.1065","","7.55%"
"04/01/2016","17.1700","17.2812","17.9564","17.0457","","-0.63%"
"03/01/2016","17.2786","18.1379","18.1723","17.0972","","-4.67%"
"02/01/2016","18.1250","18.1075","19.4451","17.9560","","0.14%"
"01/01/2016","18.1000","17.1800","18.8062","17.1800","","5.42%"
"12/01/2015","17.1700","16.5733","17.4687","16.4678","","3.61%"
"11/01/2015","16.5715","16.5072","16.9235","16.3552","","0.48%"
"10/01/2015","16.4920","16.9198","17.0246","16.3245","","-2.51%"
"09/01/2015","16.9173","16.7500","17.3442","16.3652","","1.00%"
"08/01/2015","16.7502","16.1070","17.3078","16.0735","","3.99%"
"07/01/2015","16.1077","15.7315","16.4935","15.6245","","2.35%"
"06/01/2015","15.7374","15.3752","15.7717","15.1665","","2.36%"
"05/01/2015","15.3740","15.3510","15.5945","14.9828","","0.20%"
"04/01/2015","15.3433","15.2647","15.4910","14.7565","","0.55%"
"03/01/2015","15.2588","14.9427","15.6694","14.8572","","2.09%"
"02/01/2015","14.9460","14.9724","15.1554","14.6362","","-0.25%"
"01/01/2015","14.9840","14.7580","15.0649","14.4325","","1.63%"
"12/01/2014","14.7440","13.9260","14.9438","13.8715","","5.80%"
"11/01/2014","13.9355","13.4655","13.9597","13.4572","","3.41%"
"10/01/2014","13.4755","13.4285","13.6734","13.2743","","0.38%"
"09/01/2014","13.4245","13.0865","13.5415","13.0275","","2.59%"
"08/01/2014","13.0851","13.2175","13.3352","13.0326","","-0.99%"
"07/01/2014","13.2164","12.9685","13.2465","12.9028","","1.94%"
"06/01/2014","12.9654","12.8640","13.1208","12.8188","","0.85%"
"05/01/2014","12.8557","13.0792","13.0941","12.8265","","-1.69%"
"04/01/2014","13.0761","13.0578","13.1566","12.9391","","0.14%"
"03/01/2014","13.0577","13.3046","13.3515","13.0355","","-1.36%"
"02/01/2014","13.2380","13.3744","13.5505","13.1826","","-0.86%"
"01/01/2014","13.3525","13.0365","13.6074","12.9563","","2.46%"
"12/01/2013","13.0315","13.1125","13.2719","12.8018","","-0.48%"
"11/01/2013","13.0940","13.0216","13.3308","12.8479","","0.62%"
"10/01/2013","13.0130","13.0885","13.3400","12.7478","","-0.58%"
"09/01/2013","13.0890","13.3702","13.4664","12.5816","","-2.11%"
"08/01/2013","13.3705","12.7365","13.3968","12.5491","","5.05%"
"07/01/2013","12.7275","12.9685","13.1560","12.4300","","-1.61%"
"06/01/2013","12.9360","12.8158","13.4624","12.6035","","1.08%"
"05/01/2013","12.7980","12.1317","12.9453","11.9355","","5.49%"
"04/01/2013","12.1320","12.3494","12.4033","12.0185","","-1.45%"
"03/01/2013","12.3100","12.7800","12.8669","12.3041","","-3.65%"
"02/01/2013","12.7761","12.7087","12.9007","12.5810","","0.56%"
"01/01/2013","12.7050","12.8657","12.9150","12.5510","","-1.24%"
"12/01/2012","12.8642","12.9628","13.0558","12.6810","","-0.62%"
