"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2018","1.2891","1.2831","1.3126","1.2802","","0.48%"
"02/01/2018","1.2830","1.2315","1.2843","1.2254","","4.20%"
"01/01/2018","1.2313","1.2579","1.2591","1.2248","","-2.10%"
"12/01/2017","1.2577","1.2897","1.2921","1.2513","","-2.46%"
"11/01/2017","1.2894","1.2889","1.2911","1.2664","","0.08%"
"10/01/2017","1.2884","1.2475","1.2917","1.2431","","3.34%"
"09/01/2017","1.2467","1.2479","1.2529","1.2059","","-0.10%"
"08/01/2017","1.2480","1.2479","1.2780","1.2440","","0.02%"
"07/01/2017","1.2477","1.2966","1.3017","1.2414","","-3.74%"
"06/01/2017","1.2962","1.3501","1.3548","1.2946","","-3.98%"
"05/01/2017","1.3499","1.3656","1.3795","1.3387","","-1.11%"
"04/01/2017","1.3650","1.3304","1.3699","1.3222","","2.55%"
"03/01/2017","1.3311","1.3301","1.3536","1.3264","","0.09%"
"02/01/2017","1.3299","1.3032","1.3316","1.2980","","2.08%"
"01/01/2017","1.3028","1.3436","1.3462","1.2968","","-2.99%"
"12/01/2016","1.3430","1.3439","1.3600","1.3081","","-0.02%"
"11/01/2016","1.3433","1.3407","1.3591","1.3262","","0.19%"
"10/01/2016","1.3408","1.3127","1.3433","1.3004","","2.14%"
"09/01/2016","1.3127","1.3106","1.3282","1.2820","","0.18%"
"08/01/2016","1.3104","1.3029","1.3202","1.2761","","0.58%"
"07/01/2016","1.3028","1.2924","1.3254","1.2829","","0.81%"
"06/01/2016","1.2923","1.3094","1.3146","1.2653","","-1.29%"
"05/01/2016","1.3092","1.2550","1.3190","1.2461","","4.31%"
"04/01/2016","1.2551","1.3004","1.3219","1.2497","","-3.48%"
"03/01/2016","1.3004","1.3542","1.3555","1.2855","","-3.94%"
"02/01/2016","1.3538","1.3973","1.4103","1.3481","","-3.10%"
"01/01/2016","1.3971","1.3841","1.4691","1.3814","","0.95%"
"12/01/2015","1.3839","1.3362","1.4001","1.3291","","3.57%"
"11/01/2015","1.3362","1.3076","1.3438","1.3036","","2.19%"
"10/01/2015","1.3076","1.3312","1.3333","1.2829","","-1.77%"
"09/01/2015","1.3312","1.3140","1.3457","1.3010","","1.35%"
"08/01/2015","1.3135","1.3096","1.3355","1.2950","","0.37%"
"07/01/2015","1.3086","1.2494","1.3104","1.2473","","4.76%"
"06/01/2015","1.2491","1.2441","1.2565","1.2126","","0.37%"
"05/01/2015","1.2445","1.2077","1.2539","1.1918","","3.06%"
"04/01/2015","1.2075","1.2684","1.2711","1.1944","","-4.82%"
"03/01/2015","1.2686","1.2482","1.2835","1.2406","","1.44%"
"02/01/2015","1.2506","1.2732","1.2774","1.2352","","-1.76%"
"01/01/2015","1.2730","1.1622","1.2800","1.1598","","9.57%"
"12/01/2014","1.1618","1.1422","1.1674","1.1312","","1.80%"
"11/01/2014","1.1413","1.1265","1.1468","1.1191","","1.31%"
"10/01/2014","1.1265","1.1197","1.1387","1.1069","","0.62%"
"09/01/2014","1.1196","1.0876","1.1221","1.0819","","2.95%"
"08/01/2014","1.0875","1.0906","1.0999","1.0809","","-0.27%"
"07/01/2014","1.0904","1.0672","1.0931","1.0618","","2.22%"
"06/01/2014","1.0667","1.0846","1.0962","1.0645","","-1.61%"
"05/01/2014","1.0841","1.0962","1.1007","1.0812","","-1.07%"
"04/01/2014","1.0958","1.1050","1.1072","1.0855","","-0.81%"
"03/01/2014","1.1048","1.1054","1.1280","1.0953","","-0.14%"
"02/01/2014","1.1064","1.1132","1.1181","1.0908","","-0.56%"
"01/01/2014","1.1126","1.0623","1.1226","1.0587","","4.76%"
"12/01/2013","1.0620","1.0613","1.0739","1.0559","","0.06%"
"11/01/2013","1.0614","1.0431","1.0630","1.0396","","1.78%"
"10/01/2013","1.0428","1.0309","1.0498","1.0269","","1.16%"
"09/01/2013","1.0308","1.0523","1.0561","1.0181","","-2.15%"
"08/01/2013","1.0534","1.0276","1.0570","1.0265","","2.52%"
"07/01/2013","1.0275","1.0516","1.0610","1.0245","","-2.31%"
"06/01/2013","1.0518","1.0363","1.0558","1.0134","","1.38%"
"05/01/2013","1.0375","1.0073","1.0422","1.0013","","3.02%"
"04/01/2013","1.0071","1.0177","1.0295","1.0055","","-0.99%"
"03/01/2013","1.0172","1.0307","1.0344","1.0144","","-1.27%"
"02/01/2013","1.0303","0.9973","1.0315","0.9931","","3.35%"
"01/01/2013","0.9969","0.9922","1.0101","0.9813","","0.48%"
"12/01/2012","0.9921","0.9940","0.9978","0.9822","","-0.21%"
"11/01/2012","0.9942","0.9995","1.0057","0.9872","","-0.49%"
"10/01/2012","0.9991","0.9837","1.0022","0.9732","","1.59%"
"09/01/2012","0.9835","0.9870","0.9920","0.9632","","-0.27%"
"08/01/2012","0.9862","1.0033","1.0087","0.9840","","-1.66%"
"07/01/2012","1.0028","1.0164","1.0251","1.0002","","-1.35%"
"06/01/2012","1.0165","1.0327","1.0448","1.0157","","-1.61%"
"05/01/2012","1.0331","0.9870","1.0367","0.9827","","4.67%"
"04/01/2012","0.9870","0.9941","1.0053","0.9798","","-1.08%"
"03/01/2012","0.9978","0.9892","1.0036","0.9840","","0.85%"
"02/01/2012","0.9894","1.0024","1.0053","0.9844","","-1.32%"
"01/01/2012","1.0026","1.0207","1.0321","0.9963","","-1.64%"
"12/01/2011","1.0193","1.0186","1.0425","1.0051","","0.01%"
"11/01/2011","1.0192","0.9995","1.0525","0.9972","","1.97%"
"10/01/2011","0.9995","1.0480","1.0659","0.9890","","-4.80%"
"09/01/2011","1.0499","0.9782","1.0505","0.9735","","7.38%"
"08/01/2011","0.9777","0.9556","1.0011","0.9491","","2.37%"
"07/01/2011","0.9551","0.9638","0.9780","0.9405","","-0.85%"
"06/01/2011","0.9633","0.9688","0.9915","0.9624","","-0.51%"
"05/01/2011","0.9682","0.9455","0.9818","0.9445","","2.52%"
"04/01/2011","0.9444","0.9698","0.9723","0.9438","","-2.64%"
"03/01/2011","0.9700","0.9713","0.9975","0.9666","","-0.15%"
"02/01/2011","0.9715","1.0008","1.0014","0.9708","","-2.95%"
"01/01/2011","1.0010","0.9948","1.0059","0.9829","","0.40%"
"12/01/2010","0.9970","1.0266","1.0273","0.9925","","-2.88%"
"11/01/2010","1.0266","1.0192","1.0289","0.9973","","0.76%"
"10/01/2010","1.0189","1.0295","1.0373","0.9973","","-0.99%"
"09/01/2010","1.0291","1.0649","1.0659","1.0192","","-3.31%"
"08/01/2010","1.0643","1.0294","1.0675","1.0105","","3.36%"
"07/01/2010","1.0297","1.0638","1.0678","1.0251","","-3.28%"
"06/01/2010","1.0646","1.0439","1.0682","1.0137","","1.87%"
"05/01/2010","1.0451","1.0163","1.0853","1.0099","","2.71%"
"04/01/2010","1.0175","1.0151","1.0216","0.9928","","0.22%"
"03/01/2010","1.0153","1.0547","1.0575","1.0061","","-3.58%"
"02/01/2010","1.0530","1.0704","1.0781","1.0370","","-1.57%"
"01/01/2010","1.0698","1.0537","1.0701","1.0224","","1.69%"
"12/01/2009","1.0520","1.0557","1.0748","1.0366","","-0.35%"
"11/01/2009","1.0557","1.0849","1.0872","1.0416","","-2.66%"
"10/01/2009","1.0846","1.0694","1.0959","1.0206","","1.44%"
"09/01/2009","1.0692","1.0938","1.1105","1.0592","","-2.33%"
"08/01/2009","1.0947","1.0772","1.1126","1.0633","","1.56%"
"07/01/2009","1.0779","1.1631","1.1726","1.0751","","-7.29%"
"06/01/2009","1.1627","1.0908","1.1642","1.0784","","6.59%"
"05/01/2009","1.0908","1.1943","1.1953","1.0892","","-8.64%"
"04/01/2009","1.1940","1.2622","1.2717","1.1862","","-5.31%"
"03/01/2009","1.2610","1.2772","1.3066","1.2191","","-0.96%"
"02/01/2009","1.2732","1.2281","1.2733","1.2130","","3.77%"
"01/01/2009","1.2269","1.2169","1.2767","1.1762","","0.83%"
"12/01/2008","1.2168","1.2370","1.3010","1.1819","","-1.53%"
"11/01/2008","1.2357","1.2098","1.2986","1.1465","","1.91%"
"10/01/2008","1.2125","1.0628","1.3020","1.0547","","13.90%"
"09/01/2008","1.0645","1.0616","1.0824","1.0299","","0.07%"
"08/01/2008","1.0638","1.0229","1.0731","1.0227","","3.94%"
"07/01/2008","1.0235","1.0202","1.0275","0.9974","","0.24%"
"06/01/2008","1.0211","0.9952","1.0323","0.9928","","2.79%"
"05/01/2008","0.9934","1.0067","1.0243","0.9818","","-1.37%"
"04/01/2008","1.0072","1.0262","1.0327","0.9988","","-1.84%"
"03/01/2008","1.0261","0.9854","1.0311","0.9747","","4.23%"
"02/01/2008","0.9845","1.0029","1.0199","0.9710","","-1.92%"
"01/01/2008","1.0038","0.9986","1.0380","0.9841","","0.71%"
"12/01/2007","0.9967","0.9996","1.0250","0.9757","","-0.34%"
"11/01/2007","1.0001","0.9431","1.0017","0.9058","","5.95%"
"10/01/2007","0.9439","0.9932","1.0019","0.9420","","-4.80%"
"09/01/2007","0.9915","1.0556","1.0593","0.9912","","-6.09%"
"08/01/2007","1.0558","1.0667","1.0867","1.0462","","-1.08%"
"07/01/2007","1.0673","1.0634","1.0703","1.0340","","0.19%"
"06/01/2007","1.0653","1.0701","1.0761","1.0474","","-0.49%"
"05/01/2007","1.0705","1.1101","1.1171","1.0665","","-3.49%"
"04/01/2007","1.1092","1.1521","1.1601","1.1048","","-3.82%"
"03/01/2007","1.1532","1.1696","1.1827","1.1498","","-1.35%"
"02/01/2007","1.1690","1.1763","1.1877","1.1559","","-0.60%"
"01/01/2007","1.1761","1.1662","1.1854","1.1625","","0.92%"
"12/01/2006","1.1654","1.1408","1.1673","1.1372","","2.09%"
"11/01/2006","1.1415","1.1226","1.1496","1.1209","","1.69%"
"10/01/2006","1.1225","1.1179","1.1417","1.1145","","0.38%"
"09/01/2006","1.1182","1.1045","1.1298","1.1030","","1.33%"
"08/01/2006","1.1035","1.1322","1.1374","1.1033","","-2.49%"
"07/01/2006","1.1317","1.1149","1.1460","1.1040","","1.30%"
"06/01/2006","1.1172","1.1008","1.1292","1.0957","","1.44%"
"05/01/2006","1.1013","1.1179","1.1279","1.0931","","-1.41%"
"04/01/2006","1.1170","1.1683","1.1774","1.1159","","-4.39%"
"03/01/2006","1.1683","1.1371","1.1752","1.1297","","2.79%"
"02/01/2006","1.1366","1.1393","1.1614","1.1347","","-0.27%"
"01/01/2006","1.1397","1.1654","1.1801","1.1371","","-1.96%"
"12/01/2005","1.1625","1.1658","1.1757","1.1422","","-0.28%"
"11/01/2005","1.1658","1.1817","1.1981","1.1636","","-1.34%"
"10/01/2005","1.1816","1.1622","1.1925","1.1618","","1.57%"
"09/01/2005","1.1633","1.1883","1.1946","1.1582","","-2.12%"
"08/01/2005","1.1885","1.2226","1.2263","1.1831","","-2.77%"
"07/01/2005","1.2224","1.2254","1.2483","1.2020","","-0.25%"
"06/01/2005","1.2255","1.2547","1.2596","1.2233","","-2.29%"
"05/01/2005","1.2542","1.2593","1.2736","1.2355","","-0.39%"
"04/01/2005","1.2591","1.2104","1.2623","1.2061","","4.12%"
"03/01/2005","1.2093","1.2337","1.2496","1.1975","","-1.95%"
"02/01/2005","1.2334","1.2403","1.2586","1.2233","","-0.57%"
"01/01/2005","1.2405","1.2020","1.2471","1.1944","","3.13%"
"12/01/2004","1.2029","1.1864","1.2468","1.1793","","1.46%"
"11/01/2004","1.1856","1.2184","1.2283","1.1713","","-2.66%"
"10/01/2004","1.2180","1.2620","1.2757","1.2153","","-3.49%"
"09/01/2004","1.2620","1.3123","1.3169","1.2588","","-3.85%"
"08/01/2004","1.3125","1.3301","1.3346","1.2952","","-1.44%"
"07/01/2004","1.3317","1.3336","1.3386","1.3057","","-0.09%"
"06/01/2004","1.3329","1.3624","1.3815","1.3317","","-2.17%"
"05/01/2004","1.3624","1.3718","1.4004","1.3554","","-0.55%"
"04/01/2004","1.3700","1.3112","1.3797","1.3036","","4.60%"
"03/01/2004","1.3097","1.3355","1.3591","1.3010","","-1.92%"
"02/01/2004","1.3353","1.3249","1.3513","1.3067","","0.82%"
"01/01/2004","1.3245","1.2986","1.3363","1.2679","","2.13%"
"12/01/2003","1.2969","1.2992","1.3422","1.2837","","-0.22%"
"11/01/2003","1.2997","1.3203","1.3434","1.2929","","-1.50%"
"10/01/2003","1.3195","1.3520","1.3527","1.3022","","-2.46%"
"09/01/2003","1.3528","1.3857","1.3982","1.3368","","-2.42%"
"08/01/2003","1.3864","1.4051","1.4165","1.3760","","-1.32%"
"07/01/2003","1.4050","1.3465","1.4196","1.3333","","4.32%"
"06/01/2003","1.3468","1.3721","1.3788","1.3308","","-1.45%"
"05/01/2003","1.3666","1.4297","1.4303","1.3415","","-4.65%"
"04/01/2003","1.4333","1.4676","1.4944","1.4308","","-2.37%"
"03/01/2003","1.4681","1.4831","1.4952","1.4602","","-1.04%"
"02/01/2003","1.4835","1.5209","1.5334","1.4830","","-2.48%"
"01/01/2003","1.5212","1.5755","1.5776","1.5171","","-3.27%"
"12/01/2002","1.5727","1.5630","1.5803","1.5452","","0.50%"
"11/01/2002","1.5649","1.5587","1.5922","1.5506","","0.42%"
"10/01/2002","1.5584","1.5862","1.5993","1.5553","","-1.80%"
"09/01/2002","1.5869","1.5592","1.5917","1.5505","","1.81%"
"08/01/2002","1.5587","1.5841","1.6049","1.5490","","-1.60%"
"07/01/2002","1.5840","1.5175","1.5963","1.5106","","4.29%"
"06/01/2002","1.5188","1.5386","1.5524","1.5029","","-0.93%"
"05/01/2002","1.5330","1.5676","1.5725","1.5259","","-2.22%"
"04/01/2002","1.5678","1.5954","1.6026","1.5605","","-1.74%"
"03/01/2002","1.5955","1.6019","1.6040","1.5738","","-0.37%"
"02/01/2002","1.6015","1.5887","1.6125","1.5855","","0.96%"
"01/01/2002","1.5863","1.5925","1.6193","1.5827","","-0.36%"
"12/01/2001","1.5920","1.5728","1.6055","1.5583","","1.20%"
"11/01/2001","1.5732","1.5892","1.6055","1.5701","","-0.98%"
"10/01/2001","1.5887","1.5788","1.5890","1.5555","","0.59%"
"09/01/2001","1.5794","1.5496","1.5812","1.5459","","1.82%"
"08/01/2001","1.5512","1.5334","1.5520","1.5237","","1.15%"
"07/01/2001","1.5335","1.5139","1.5477","1.5070","","1.24%"
"06/01/2001","1.5147","1.5378","1.5389","1.5103","","-1.53%"
"05/01/2001","1.5383","1.5351","1.5563","1.5273","","0.20%"
"04/01/2001","1.5353","1.5767","1.5827","1.5331","","-2.61%"
"03/01/2001","1.5764","1.5378","1.5796","1.5359","","2.62%"
"02/01/2001","1.5361","1.4983","1.5436","1.4900","","2.52%"
"01/01/2001","1.4984","1.4982","1.5175","1.4901","","-0.03%"
"12/01/2000","1.4988","1.5373","1.5542","1.4947","","-2.47%"
"11/01/2000","1.5367","1.5238","1.5630","1.5215","","0.93%"
"10/01/2000","1.5225","1.5034","1.5327","1.4923","","1.28%"
"09/01/2000","1.5033","1.4718","1.5084","1.4685","","2.11%"
"08/01/2000","1.4722","1.4867","1.4949","1.4709","","-0.95%"
"07/01/2000","1.4863","1.4795","1.4924","1.4630","","0.40%"
"06/01/2000","1.4804","1.4965","1.4973","1.4629","","-1.10%"
"05/01/2000","1.4968","1.4800","1.5145","1.4757","","1.07%"
"04/01/2000","1.4810","1.4495","1.4893","1.4475","","2.20%"
"03/01/2000","1.4491","1.4500","1.4773","1.4437","","0.01%"
"02/01/2000","1.4489","1.4475","1.4670","1.4357","","0.21%"
"01/01/2000","1.4459","1.4455","1.4617","1.4312","","-0.01%"
"12/01/1999","1.4460","1.4741","1.4853","1.4425","","-1.91%"
"11/01/1999","1.4741","1.4708","1.4768","1.4552","","0.25%"
"10/01/1999","1.4704","1.4669","1.4973","1.4617","","0.22%"
"09/01/1999","1.4672","1.4925","1.4993","1.4598","","-1.66%"
"08/01/1999","1.4920","1.5061","1.5128","1.4754","","-1.00%"
"07/01/1999","1.5070","1.4632","1.5176","1.4615","","3.06%"
"06/01/1999","1.4623","1.4741","1.4863","1.4543","","-0.79%"
"05/01/1999","1.4739","1.4562","1.4787","1.4451","","1.19%"
"04/01/1999","1.4565","1.5066","1.5081","1.4539","","-3.42%"
"03/01/1999","1.5080","1.5090","1.5317","1.5023","","0.00%"
"02/01/1999","1.5080","1.5110","1.5170","1.4825","","-0.17%"
"01/01/1999","1.5105","1.5315","1.5475","1.5020","","-1.31%"
"12/01/1998","1.5305","1.5352","1.5549","1.5200","","-0.16%"
"11/01/1998","1.5330","1.5440","1.5575","1.5168","","-0.63%"
"10/01/1998","1.5427","1.5305","1.5615","1.4985","","0.80%"
"09/01/1998","1.5305","1.5660","1.5682","1.4990","","-2.29%"
"08/01/1998","1.5663","1.5132","1.5850","1.5110","","3.54%"
"07/01/1998","1.5128","1.4672","1.5132","1.4604","","3.14%"
"06/01/1998","1.4667","1.4567","1.4769","1.4493","","0.69%"
"05/01/1998","1.4566","1.4310","1.4578","1.4303","","1.80%"
"04/01/1998","1.4308","1.4186","1.4417","1.4146","","0.76%"
"03/01/1998","1.4200","1.4238","1.4293","1.4040","","-0.27%"
"02/01/1998","1.4238","1.4533","1.4560","1.4162","","-2.10%"
"01/01/1998","1.4543","1.4295","1.4688","1.4213","","1.73%"
"12/01/1997","1.4295","1.4230","1.4415","1.4127","","0.44%"
"11/01/1997","1.4232","1.4082","1.4268","1.3967","","1.04%"
"10/01/1997","1.4085","1.3818","1.4166","1.3691","","1.94%"
"09/01/1997","1.3817","1.3885","1.3942","1.3786","","-0.44%"
"08/01/1997","1.3878","1.3777","1.3967","1.3771","","0.70%"
"07/01/1997","1.3782","1.3813","1.3875","1.3663","","-0.22%"
"06/01/1997","1.3813","1.3765","1.3967","1.3712","","0.35%"
"05/01/1997","1.3765","1.3975","1.3981","1.3615","","-1.52%"
"04/01/1997","1.3977","1.3842","1.4028","1.3832","","1.00%"
"03/01/1997","1.3839","1.3683","1.3858","1.3597","","1.15%"
"02/01/1997","1.3681","1.3471","1.3698","1.3406","","1.52%"
"01/01/1997","1.3476","1.3705","1.3784","1.3341","","-1.69%"
"12/01/1996","1.3708","1.3510","1.3723","1.3466","","1.42%"
"11/01/1996","1.3516","1.3386","1.3518","1.3266","","1.02%"
"10/01/1996","1.3380","1.3621","1.3636","1.3375","","-1.75%"
"09/01/1996","1.3619","1.3680","1.3748","1.3615","","-0.47%"
"08/01/1996","1.3683","1.3750","1.3784","1.3653","","-0.49%"
"07/01/1996","1.3750","1.3636","1.3767","1.3584","","0.84%"
"06/01/1996","1.3635","1.3691","1.3711","1.3570","","-0.38%"
"05/01/1996","1.3687","1.3607","1.3775","1.3575","","0.57%"
"04/01/1996","1.3609","1.3595","1.3685","1.3535","","0.13%"
"03/01/1996","1.3592","1.3704","1.3748","1.3548","","-0.80%"
"02/01/1996","1.3701","1.3740","1.3868","1.3639","","-0.25%"
"01/01/1996","1.3735","1.3640","1.3845","1.3515","","0.67%"
"12/01/1995","1.3643","1.3607","1.3822","1.3573","","0.33%"
"11/01/1995","1.3598","1.3445","1.3618","1.3397","","1.14%"
"10/01/1995","1.3445","1.3390","1.3795","1.3275","","0.20%"
"09/01/1995","1.3418","1.3435","1.3741","1.3347","","-0.09%"
"08/01/1995","1.3430","1.3650","1.3700","1.3345","","-1.61%"
"07/01/1995","1.3650","1.3721","1.3753","1.3515","","-0.52%"
"06/01/1995","1.3721","1.3705","1.3850","1.3685","","0.15%"
"05/01/1995","1.3700","1.3555","1.3739","1.3493","","1.03%"
"04/01/1995","1.3560","1.3995","1.4030","1.3555","","-3.14%"
"03/01/1995","1.4000","1.3901","1.4230","1.3899","","0.74%"
"02/01/1995","1.3897","1.4074","1.4133","1.3862","","-1.24%"
"01/01/1995","1.4072","1.4017","1.4270","1.3952","","0.38%"
"12/01/1994","1.4019","1.3760","1.4095","1.3699","","1.88%"
"11/01/1994","1.3760","1.3535","1.3802","1.3514","","1.68%"
"10/01/1994","1.3533","1.3429","1.3589","1.3422","","0.80%"
"09/01/1994","1.3425","1.3668","1.3722","1.3400","","-1.78%"
"08/01/1994","1.3668","1.3872","1.3903","1.3643","","-1.38%"
"07/01/1994","1.3859","1.3835","1.3922","1.3753","","0.17%"
"06/01/1994","1.3835","1.3833","1.3973","1.3660","","0.04%"
"05/01/1994","1.3830","1.3817","1.3887","1.3714","","0.07%"
"04/01/1994","1.3821","1.3839","1.3993","1.3703","","-0.09%"
"03/01/1994","1.3834","1.3497","1.3847","1.3472","","2.47%"
"02/01/1994","1.3500","1.3295","1.3563","1.3245","","1.56%"
"01/01/1994","1.3293","1.3217","1.3317","1.3079","","0.58%"
"12/01/1993","1.3217","1.3350","1.3486","1.3203","","-1.09%"
"11/01/1993","1.3363","1.3203","1.3390","1.2902","","1.20%"
"10/01/1993","1.3205","1.3344","1.3428","1.2982","","-1.03%"
"09/01/1993","1.3342","1.3192","1.3377","1.3072","","1.14%"
"08/01/1993","1.3192","1.2854","1.3260","1.2832","","2.64%"
"07/01/1993","1.2853","1.2823","1.2898","1.2732","","0.26%"
"06/01/1993","1.2820","1.2708","1.2858","1.2691","","0.85%"
"05/01/1993","1.2712","1.2704","1.2784","1.2591","","0.06%"
"04/01/1993","1.2704","1.2588","1.2812","1.2525","","0.95%"
"03/01/1993","1.2584","1.2512","1.2597","1.2401","","0.67%"
"02/01/1993","1.2500","1.2681","1.2717","1.2481","","-1.41%"
"01/01/1993","1.2679","1.2717","1.2883","1.2664","","-0.26%"
"12/01/1992","1.2712","1.2871","1.2908","1.2582","","-1.25%"
"11/01/1992","1.2873","1.2390","1.2948","1.2389","","3.95%"
"10/01/1992","1.2384","1.2452","1.2582","1.2317","","-0.55%"
"09/01/1992","1.2452","1.1946","1.2622","1.1932","","4.24%"
"08/01/1992","1.1946","1.1837","1.2003","1.1816","","0.92%"
"07/01/1992","1.1837","1.1987","1.2041","1.1818","","-1.25%"
"06/01/1992","1.1987","1.2031","1.2065","1.1898","","-0.37%"
"05/01/1992","1.2031","1.2018","1.2109","1.1877","","0.99%"
"04/01/1992","1.1913","1.1913","1.1978","1.1782","","0.18%"
"03/01/1992","1.1892","1.1892","1.2003","1.1822","","0.59%"
"02/01/1992","1.1822","1.1822","1.1923","1.1723","","0.64%"
"01/01/1992","1.1747","1.1747","1.1787","1.1401","","1.66%"
"12/01/1991","1.1555","1.1555","1.1618","1.1322","","1.88%"
"11/01/1991","1.1342","1.1342","1.1405","1.1192","","1.02%"
"10/01/1991","1.1227","1.1227","1.1334","1.1220","","-0.84%"
"09/01/1991","1.1322","1.1322","1.1428","1.1308","","-0.82%"
"08/01/1991","1.1416","1.1416","1.1513","1.1393","","-0.84%"
"07/01/1991","1.1513","1.1513","1.1635","1.1402","","0.85%"
"06/01/1991","1.1416","1.1416","1.1502","1.1410","","-0.26%"
"05/01/1991","1.1446","1.1446","1.1538","1.1427","","-0.71%"
"04/01/1991","1.1528","1.1528","1.1601","1.1473","","-0.51%"
"03/01/1991","1.1587","1.1587","1.1641","1.1492","","0.77%"
"02/01/1991","1.1498","1.1498","1.1633","1.1486","","-1.13%"
"01/01/1991","1.1629","1.1629","1.1665","1.1462","","0.28%"
"12/01/1990","1.1597","1.1597","1.1667","1.1542","","-0.45%"
"11/01/1990","1.1650","1.1650","1.1713","1.1553","","-0.13%"
"10/01/1990","1.1665","1.1665","1.1798","1.1449","","0.97%"
"09/01/1990","1.1553","1.1553","1.1715","1.1473","","-0.11%"
"08/01/1990","1.1566","1.1566","1.1585","1.1271","","0.43%"
"07/01/1990","1.1517","1.1517","1.1660","1.1502","","-1.00%"
"06/01/1990","1.1633","1.1633","1.1825","1.1603","","-0.68%"
"05/01/1990","1.1713","1.1713","1.1936","1.1612","","0.59%"
"04/01/1990","1.1644","1.1644","1.1718","1.1583","","-0.46%"
"03/01/1990","1.1698","1.1698","1.1953","1.1694","","-1.79%"
"02/01/1990","1.1911","1.1911","1.2094","1.1848","","0.32%"
"01/01/1990","1.1873","1.1873","1.1974","1.1544","","2.50%"
